id_cliente;id_pedido;id_motivo_devolucao;quantidade;dt_devolucao
166299;155916;7;4;20/04/2024
182856;269434;6;1;15/06/2024
16997;250130;3;3;19/01/2024
121568;273491;5;5;12/11/2024
134509;240596;2;2;02/03/2024
46230;316467;3;5;01/01/2024
185868;45186;2;5;08/03/2024
184345;204773;4;1;18/04/2024
64063;111368;1;3;04/08/2024
63681;189511;7;1;09/11/2024
72909;281867;6;1;11/06/2024
93122;337683;5;2;06/01/2024
89070;337498;9;4;21/01/2024
96313;162548;7;2;23/06/2024
34854;75197;6;3;08/03/2024
88717;23598;3;2;28/09/2024
83932;250404;9;1;04/11/2024
54609;106664;5;2;15/10/2024
166185;113866;1;3;12/04/2024
31902;275905;7;5;11/06/2024
12757;54975;2;2;19/08/2024
193904;165879;1;2;27/05/2024
85493;44453;1;2;03/03/2024
144226;255299;3;3;13/08/2024
144064;104506;8;4;25/01/2024
100055;156511;6;3;09/09/2024
177078;180587;2;1;27/06/2024
41410;67209;1;4;25/09/2024
89070;170581;8;3;05/11/2024
164145;261011;1;4;02/03/2024
175254;295791;1;5;01/06/2024
51254;247214;2;4;21/04/2024
94159;52280;3;5;11/02/2024
139314;232941;7;2;17/09/2024
46756;145925;9;2;02/03/2024
184481;121270;5;5;26/08/2024
31437;306502;7;3;25/06/2024
121972;89262;9;4;25/02/2024
75795;229407;4;2;04/11/2024
8991;337719;9;4;14/09/2024
60731;195087;9;5;17/09/2024
119267;216847;2;4;22/03/2024
54935;15066;3;1;26/02/2024
79519;190549;8;3;12/08/2024
125697;193277;4;4;27/04/2024
29071;229533;2;3;29/09/2024
176560;99434;3;5;13/07/2024
21625;256837;1;4;07/05/2024
167988;128740;3;4;20/01/2024
154610;174316;9;1;30/03/2024
17222;314151;9;1;26/10/2024
107304;339221;5;3;17/02/2024
175024;32341;3;3;13/04/2024
30352;269226;6;3;05/10/2024
16986;248280;6;3;14/11/2024
101044;37736;2;2;21/10/2024
37264;62447;4;5;19/02/2024
101512;92662;7;4;25/09/2024
13709;44180;3;1;12/07/2024
182082;237244;3;1;19/10/2024
97061;306052;5;4;12/06/2024
37029;342431;5;2;26/04/2024
11055;97470;9;5;16/08/2024
172439;157311;7;5;03/10/2024
93684;146609;6;5;15/05/2024
7934;95868;4;3;29/08/2024
10803;323202;8;3;01/01/2024
5437;92289;2;5;25/09/2024
114411;24114;6;5;25/03/2024
96869;21169;4;4;03/10/2024
14418;7179;1;4;11/06/2024
122129;93151;9;5;17/01/2024
74300;69695;2;2;01/05/2024
60367;284246;3;5;07/03/2024
15854;245066;2;5;07/08/2024
122085;319591;2;2;02/06/2024
179162;210368;9;3;20/08/2024
118937;85559;4;2;26/05/2024
124682;240843;8;4;13/03/2024
51743;134743;5;4;20/04/2024
62358;50966;6;4;18/10/2024
161065;149056;4;1;03/08/2024
107556;148525;4;5;30/04/2024
10932;86646;3;4;11/11/2024
186473;314591;8;5;03/03/2024
105214;37677;5;4;10/03/2024
58246;56975;8;4;11/04/2024
146576;34202;6;4;14/06/2024
23138;161939;1;4;01/05/2024
194131;81791;2;3;12/11/2024
20497;246519;4;2;16/05/2024
24434;60149;5;4;06/03/2024
191919;250239;3;1;06/11/2024
125746;283907;4;2;03/10/2024
63495;27037;2;3;12/03/2024
99861;74483;8;5;22/03/2024
90949;92921;6;3;17/07/2024
104094;332305;2;3;08/05/2024
66705;115406;5;4;03/10/2024
150315;80880;8;5;02/07/2024
40340;20845;8;1;12/09/2024
60389;229322;7;3;18/10/2024
145084;11081;2;1;29/10/2024
50931;245097;3;4;26/01/2024
147861;301721;1;4;13/07/2024
3668;46865;9;3;08/02/2024
78602;213902;6;2;19/07/2024
172168;241315;7;3;30/10/2024
143742;240940;2;4;10/10/2024
45844;273016;3;5;21/04/2024
37236;67828;7;3;26/06/2024
52517;104664;8;3;04/02/2024
67274;242887;8;2;06/08/2024
73104;27084;1;4;04/02/2024
25998;131924;4;1;17/05/2024
45527;73753;6;3;05/11/2024
184315;61496;4;5;20/03/2024
15189;45939;2;3;08/02/2024
45853;340701;1;4;17/03/2024
131723;19349;3;1;05/02/2024
117094;314420;3;3;25/07/2024
79023;8046;5;3;17/02/2024
182582;335057;4;4;17/07/2024
102251;46719;5;3;21/05/2024
50776;61597;6;3;28/03/2024
119609;261779;2;4;15/05/2024
22432;158503;5;3;09/10/2024
137961;15150;5;1;10/10/2024
190246;41172;6;2;03/05/2024
82983;211096;1;3;26/02/2024
172503;59062;2;2;06/08/2024
123596;81215;4;2;12/10/2024
162901;195016;6;4;01/11/2024
82543;114929;9;3;16/10/2024
134939;210703;4;1;23/10/2024
11058;77350;5;5;21/09/2024
114880;162643;6;1;10/05/2024
20033;33712;1;2;01/06/2024
27540;327761;6;1;08/05/2024
108771;41598;5;2;19/06/2024
1816;134169;6;1;06/01/2024
100758;15843;9;3;19/04/2024
35180;63252;7;3;21/06/2024
22966;185185;9;1;13/01/2024
178832;156068;2;2;09/11/2024
17333;226135;3;1;16/04/2024
143353;128201;3;4;24/06/2024
176726;174800;6;5;02/03/2024
100443;136533;6;1;02/09/2024
108434;304471;4;4;04/11/2024
188498;59304;3;5;28/06/2024
16466;207784;3;5;04/07/2024
66528;52558;9;4;13/06/2024
128817;122115;1;1;26/02/2024
96817;190887;3;2;24/05/2024
51766;121849;6;4;29/04/2024
85569;149166;9;3;29/07/2024
175247;266376;1;2;16/02/2024
111038;284644;8;3;16/05/2024
2053;63734;3;5;15/05/2024
148869;156411;6;3;05/09/2024
90072;328473;5;3;07/10/2024
35867;237204;2;3;31/10/2024
3650;170641;3;4;10/06/2024
64550;184519;5;2;03/03/2024
58588;190980;3;1;04/08/2024
3494;324379;5;5;29/04/2024
21675;310861;4;2;22/05/2024
112066;24659;7;1;08/11/2024
148096;67027;1;3;22/01/2024
114690;223281;5;2;01/09/2024
4192;210717;5;5;30/09/2024
48817;256405;2;5;13/10/2024
53843;303444;4;1;09/10/2024
149180;310;3;5;05/03/2024
56999;116587;1;2;25/09/2024
191203;273796;4;3;10/08/2024
110047;131284;5;1;27/06/2024
42262;80553;8;5;23/03/2024
173696;44183;4;5;04/10/2024
96633;72944;8;3;01/11/2024
15457;217307;3;5;17/02/2024
106265;136561;2;3;08/08/2024
148456;155081;8;1;11/02/2024
139080;88759;6;5;26/10/2024
66851;45318;6;2;17/09/2024
45011;131502;3;1;19/02/2024
23546;235457;5;5;17/04/2024
8401;15943;8;4;26/01/2024
115236;186297;9;5;08/05/2024
172901;325367;2;5;23/10/2024
11386;81089;9;5;02/04/2024
9431;343024;6;2;24/01/2024
137202;284266;5;5;14/05/2024
55209;72674;4;2;14/04/2024
185964;304568;2;1;17/08/2024
57880;254543;2;3;09/01/2024
140709;155554;8;4;21/10/2024
43921;268958;4;1;23/02/2024
32222;299613;8;5;23/03/2024
181291;253811;2;1;17/04/2024
85855;193979;9;1;19/02/2024
101999;22676;7;1;02/04/2024
22418;54711;4;2;13/08/2024
192878;305167;3;1;08/06/2024
34907;100190;5;4;30/10/2024
106349;2726;4;3;23/06/2024
50176;348914;3;4;04/10/2024
15927;279669;4;5;26/02/2024
36874;36145;9;5;29/06/2024
84723;300200;4;1;29/07/2024
187342;99286;3;3;16/02/2024
180252;303241;8;5;16/05/2024
169342;313854;2;2;24/08/2024
183971;347621;7;4;05/03/2024
110177;114822;9;3;15/06/2024
142886;277586;1;4;07/01/2024
84310;289491;7;1;10/06/2024
92289;224838;9;2;30/08/2024
41081;204312;8;3;31/07/2024
23748;312916;4;3;04/08/2024
74327;245598;9;2;10/07/2024
108869;204719;4;2;22/02/2024
107619;192814;6;1;17/10/2024
130451;298939;6;5;29/04/2024
45939;63270;8;1;06/11/2024
145403;177982;1;3;24/08/2024
36742;22591;7;5;04/07/2024
164971;258131;2;5;05/10/2024
69180;39353;2;3;08/04/2024
49479;5503;9;2;26/04/2024
84986;314925;8;5;11/03/2024
73030;331587;5;3;03/07/2024
71736;125663;3;4;15/06/2024
21163;22262;5;5;11/05/2024
44053;77289;3;4;05/02/2024
32724;45526;4;2;30/09/2024
27210;267154;4;4;16/01/2024
51429;264965;4;1;12/05/2024
186234;250872;4;3;26/06/2024
81631;339536;8;1;13/02/2024
117891;247527;2;5;02/08/2024
166845;239347;9;1;16/06/2024
123420;82589;3;3;17/04/2024
36953;240474;4;3;13/08/2024
56735;121531;8;5;07/07/2024
308;148127;1;1;11/06/2024
34630;110169;4;3;28/09/2024
41802;9593;1;4;10/02/2024
56274;329455;2;2;19/09/2024
60064;17299;5;1;07/02/2024
12513;340831;3;5;16/03/2024
15525;297066;8;2;14/04/2024
135162;140144;3;3;28/08/2024
74924;267609;6;4;03/08/2024
100391;96848;5;5;16/08/2024
148961;95709;8;5;15/07/2024
129613;240433;9;2;20/09/2024
17598;102151;1;3;16/01/2024
161008;69623;6;3;27/02/2024
96027;57142;3;2;05/02/2024
170089;171150;1;2;27/10/2024
167771;519;2;4;11/01/2024
125869;240379;1;1;08/08/2024
153569;345817;9;2;09/05/2024
14341;324304;5;2;11/01/2024
29073;32575;8;2;04/03/2024
10081;143412;5;1;08/03/2024
63574;348428;2;1;09/02/2024
124755;46513;2;2;26/10/2024
160364;157493;5;2;15/02/2024
30434;47311;3;5;10/07/2024
47044;214184;5;4;30/01/2024
77675;28309;1;5;14/07/2024
58211;132304;4;2;28/03/2024
110481;120337;3;3;09/08/2024
157131;303152;4;4;20/04/2024
31985;149098;5;3;11/03/2024
65673;263979;8;4;06/10/2024
164808;259231;3;3;25/10/2024
15174;291359;9;1;15/04/2024
7077;118544;6;5;16/03/2024
103586;6701;7;2;31/07/2024
34226;343601;1;4;28/05/2024
175417;199329;2;4;25/03/2024
22565;52182;9;4;28/06/2024
34225;274471;6;3;04/04/2024
102286;98176;3;4;19/06/2024
1251;7612;7;3;02/01/2024
88453;166121;9;1;31/07/2024
147514;261946;6;3;09/09/2024
185749;69325;3;3;17/05/2024
122115;222496;7;3;15/08/2024
161472;114960;7;2;11/09/2024
128268;77426;2;3;30/05/2024
91387;265597;7;4;29/06/2024
11081;174612;8;4;14/09/2024
13880;157995;6;5;04/11/2024
101190;327245;3;5;05/08/2024
127586;61542;4;2;13/04/2024
58964;45631;2;5;05/02/2024
66760;65500;8;2;30/01/2024
173496;321768;7;3;12/08/2024
3511;43551;6;4;12/01/2024
166950;347428;8;1;30/10/2024
157702;214065;8;1;13/10/2024
76547;272969;1;4;30/07/2024
169666;81176;5;3;15/11/2024
51454;112762;3;5;12/03/2024
92498;217744;7;3;23/05/2024
20361;126138;7;1;02/06/2024
27789;261030;4;4;06/10/2024
73784;20186;5;4;15/07/2024
64878;146285;3;4;02/11/2024
51538;123429;3;1;16/10/2024
10400;62;1;5;08/06/2024
139588;94911;1;3;26/07/2024
5741;318929;1;5;13/05/2024
142047;265605;9;1;11/01/2024
99222;45139;1;4;14/03/2024
105420;112217;7;5;24/03/2024
162540;7541;1;4;03/03/2024
96732;249813;4;2;18/05/2024
74418;344036;5;1;13/04/2024
88791;228196;5;4;23/07/2024
131199;249268;1;2;25/02/2024
49563;273458;8;2;28/01/2024
172779;77848;2;1;08/09/2024
53328;249904;7;4;04/03/2024
129199;152018;8;4;28/02/2024
107859;160168;9;4;22/03/2024
103886;258823;6;3;10/02/2024
15277;171184;4;5;06/05/2024
119245;243884;8;5;16/09/2024
21481;215270;1;5;01/05/2024
78293;241618;5;5;27/09/2024
158830;63833;6;4;27/06/2024
27465;105974;4;3;21/03/2024
32809;191184;5;3;19/09/2024
120813;152807;7;2;10/01/2024
129395;3294;1;4;27/08/2024
190049;38733;1;4;08/01/2024
137447;334774;4;1;07/06/2024
160940;59389;3;2;16/10/2024
75169;300416;9;4;14/03/2024
139545;281033;8;2;08/06/2024
110723;263058;4;3;27/01/2024
143709;50901;7;2;21/05/2024
27149;70225;6;5;25/08/2024
131362;157563;6;5;23/05/2024
110612;5715;6;2;07/01/2024
125981;118980;9;5;04/10/2024
3322;116962;6;2;12/02/2024
172443;323915;5;1;07/04/2024
5838;280744;7;1;12/01/2024
2605;135494;1;1;06/11/2024
140600;69460;8;5;02/03/2024
91178;117547;7;4;03/07/2024
102060;35339;8;1;07/02/2024
186630;4483;5;4;02/02/2024
124047;319101;2;1;15/01/2024
8473;108984;9;2;20/08/2024
79686;55948;6;5;14/04/2024
98166;244722;8;2;10/03/2024
67651;74225;2;2;19/01/2024
59176;335072;6;2;15/04/2024
139676;197820;2;3;03/07/2024
50327;114974;9;4;16/03/2024
184917;25166;4;3;10/08/2024
42467;347145;9;2;05/06/2024
82715;317613;9;2;12/01/2024
56535;156250;2;2;19/08/2024
78764;167846;2;1;09/09/2024
105354;73083;3;1;22/09/2024
86330;140598;2;5;13/02/2024
143248;64805;3;3;21/05/2024
129232;253920;9;4;26/09/2024
161861;37087;7;3;13/04/2024
51216;286574;9;2;09/02/2024
148031;104925;1;2;19/01/2024
111995;120009;3;2;13/10/2024
5601;242985;8;5;16/10/2024
118211;115171;4;4;05/09/2024
14964;91377;4;1;25/03/2024
94380;183190;7;5;22/10/2024
162352;278304;5;2;28/10/2024
173304;331200;9;5;26/05/2024
159361;120960;4;1;04/07/2024
42984;168322;5;5;20/02/2024
179701;127583;5;5;07/02/2024
29044;200603;6;4;29/01/2024
155570;95291;5;4;30/09/2024
7940;60171;3;5;17/10/2024
96509;118083;5;5;01/04/2024
57085;185484;5;3;06/07/2024
77742;100429;9;1;28/10/2024
77520;89132;3;3;24/09/2024
134312;20613;8;3;14/08/2024
120758;181501;5;2;21/02/2024
23683;338878;7;2;31/10/2024
167855;165119;4;5;05/01/2024
192675;222022;3;2;10/02/2024
31677;221434;9;4;08/03/2024
125933;195780;5;2;21/01/2024
62101;282445;3;5;25/09/2024
31677;130741;7;1;10/10/2024
178392;15874;1;5;14/03/2024
190868;122653;7;1;12/08/2024
25600;198141;5;5;08/01/2024
141993;127911;6;3;10/09/2024
76855;343280;8;5;30/08/2024
107607;235662;7;1;23/07/2024
162921;216928;7;3;21/09/2024
111674;68863;4;4;11/02/2024
149755;321308;2;3;03/05/2024
68180;329395;5;5;24/08/2024
38600;343040;7;1;10/07/2024
31232;22740;5;2;10/04/2024
59733;67287;5;4;30/10/2024
125895;215046;3;4;31/08/2024
184994;293939;3;4;15/09/2024
115708;6802;1;4;28/07/2024
33747;316908;2;3;14/01/2024
47398;163600;6;2;19/01/2024
181875;116678;8;3;27/10/2024
110103;122246;4;1;11/02/2024
20536;163328;5;1;22/03/2024
95325;210833;7;1;03/08/2024
154150;142895;1;1;23/05/2024
128054;41981;9;2;14/02/2024
188763;84844;1;2;29/10/2024
189474;109618;5;4;12/07/2024
70253;263027;3;2;03/02/2024
158872;225625;7;3;05/05/2024
102186;199938;9;3;22/10/2024
65136;23990;3;1;15/02/2024
80379;119673;6;2;18/01/2024
1933;113862;6;5;26/09/2024
29250;26805;5;5;09/11/2024
127961;72756;6;1;25/06/2024
70201;176315;9;1;23/05/2024
134104;151638;9;2;01/02/2024
133471;26115;1;3;24/04/2024
5733;208015;3;3;03/05/2024
63261;76241;2;3;15/11/2024
67389;26161;4;2;29/07/2024
187056;304402;2;3;14/02/2024
44470;183800;6;1;09/07/2024
50620;242731;9;2;17/03/2024
127339;74641;9;2;31/01/2024
193276;148302;3;1;02/02/2024
156336;62205;4;2;19/02/2024
147288;118183;2;3;18/07/2024
100291;154681;5;1;17/06/2024
30799;208933;3;3;28/10/2024
105228;329412;4;2;04/05/2024
4256;143628;9;4;13/09/2024
18231;122146;4;5;04/09/2024
46354;332628;2;4;05/11/2024
140204;174112;8;3;23/05/2024
11552;22601;2;5;02/01/2024
165124;247165;4;1;05/02/2024
169838;125995;4;3;14/02/2024
3388;11274;7;5;29/09/2024
73352;140000;9;4;23/04/2024
34550;348672;3;1;02/07/2024
82872;140050;9;2;26/04/2024
36852;264232;8;1;07/11/2024
161281;209331;1;5;14/09/2024
163951;301019;3;5;21/05/2024
82042;200812;3;1;27/09/2024
89063;148149;6;2;28/01/2024
169030;301452;7;4;29/01/2024
53140;254967;3;3;01/03/2024
41785;183370;6;1;25/09/2024
186937;119742;4;2;06/11/2024
113919;208447;6;5;07/06/2024
77844;180256;8;3;12/03/2024
72790;142331;8;5;21/05/2024
168405;137838;6;2;19/07/2024
154673;137791;5;4;31/10/2024
158863;168990;6;4;18/09/2024
42331;53559;3;1;29/06/2024
126564;107555;5;1;17/03/2024
144509;197218;5;3;08/10/2024
120528;25389;7;1;16/08/2024
43517;341308;4;2;22/09/2024
102096;30956;2;3;08/11/2024
146582;67272;1;1;31/08/2024
81432;180110;7;2;30/04/2024
115099;11669;1;5;10/10/2024
184989;149421;3;5;13/10/2024
170495;325379;9;4;23/09/2024
99946;215143;7;1;20/01/2024
30480;232346;4;2;26/09/2024
185242;121439;3;1;08/10/2024
89289;20132;5;2;15/07/2024
87907;349584;5;4;12/05/2024
177608;44045;6;2;27/05/2024
170662;117236;8;2;07/10/2024
15929;233174;8;5;30/07/2024
118551;59263;2;3;10/08/2024
174247;302468;8;3;11/08/2024
89329;194531;2;2;12/07/2024
85716;196546;5;4;06/10/2024
28107;51441;5;2;22/01/2024
41613;71867;5;1;29/09/2024
178158;315320;7;2;20/02/2024
78631;8770;3;2;20/09/2024
53040;48542;4;2;03/07/2024
10585;92139;9;2;12/05/2024
103074;175962;5;2;03/06/2024
142009;268482;5;1;24/07/2024
29583;313108;6;4;11/01/2024
18680;296965;6;4;04/05/2024
145514;327740;5;1;19/06/2024
169151;148932;3;2;24/09/2024
24798;97205;4;5;21/03/2024
102072;113380;7;4;11/07/2024
119772;186422;2;3;15/04/2024
57058;109791;3;4;19/04/2024
119009;260493;2;1;19/09/2024
105108;146201;1;5;18/10/2024
78884;226303;6;2;12/10/2024
184277;296550;6;2;29/09/2024
170366;285261;5;5;25/04/2024
37165;77146;8;4;05/07/2024
101741;326587;8;4;25/05/2024
11365;6594;6;5;01/02/2024
46345;320334;8;2;11/09/2024
95181;187189;7;1;21/05/2024
148174;20056;9;5;21/06/2024
72326;141142;3;2;06/02/2024
58639;275734;1;3;10/02/2024
155453;169786;1;1;05/08/2024
152794;52942;6;4;03/07/2024
63089;204158;4;1;27/04/2024
98311;148298;9;4;27/04/2024
143442;215548;2;4;10/10/2024
27628;143550;8;2;03/08/2024
117358;277222;3;1;02/05/2024
85024;309147;7;5;07/06/2024
90988;75697;4;5;08/07/2024
71545;73219;5;1;15/04/2024
74132;241166;5;3;21/06/2024
40563;263108;2;2;17/08/2024
194339;214361;3;3;20/05/2024
52588;65574;6;3;27/01/2024
175702;237567;1;5;12/08/2024
119563;315387;8;5;12/04/2024
76945;83324;1;3;01/11/2024
4318;251845;7;2;12/11/2024
51170;149753;1;3;14/08/2024
88000;214671;7;1;05/06/2024
150968;111620;9;5;18/09/2024
184580;55646;7;4;14/06/2024
174033;3766;9;3;31/10/2024
123091;148595;3;1;23/09/2024
43858;6116;2;1;06/09/2024
70820;51066;1;5;14/01/2024
115704;201116;2;2;07/06/2024
20849;260116;9;4;02/03/2024
66560;153015;4;3;12/09/2024
143038;227615;1;5;05/06/2024
186532;337570;3;3;08/06/2024
97845;121005;7;4;18/03/2024
165067;96905;4;4;29/08/2024
37176;224637;1;3;14/08/2024
44579;90647;6;4;04/06/2024
154186;251257;8;3;06/05/2024
138749;154205;4;4;01/02/2024
165863;61178;6;1;22/03/2024
18644;290906;3;5;15/07/2024
126992;36019;1;1;13/05/2024
110364;158678;6;5;27/10/2024
68796;250874;4;4;24/02/2024
107055;20189;6;3;12/11/2024
47878;296834;6;5;24/03/2024
100131;271370;4;4;23/04/2024
57302;322581;6;2;24/01/2024
69135;34190;6;4;04/02/2024
4810;153022;1;5;08/10/2024
75702;77143;3;4;15/01/2024
139396;254467;2;5;12/11/2024
79540;86354;5;3;12/11/2024
32305;197466;5;5;26/08/2024
153110;102148;8;4;23/05/2024
31058;7006;3;1;21/03/2024
167928;327510;7;2;19/04/2024
161896;349061;8;4;05/10/2024
26161;142994;3;1;07/05/2024
180250;53517;3;2;27/05/2024
175337;184284;3;4;25/06/2024
67740;1070;6;1;09/10/2024
16435;120170;8;4;16/05/2024
144208;32299;9;4;29/08/2024
178575;326265;1;2;16/05/2024
52397;42723;7;1;09/11/2024
70561;300574;7;1;04/05/2024
60252;283158;9;1;16/07/2024
19411;75437;2;1;15/01/2024
103563;240894;9;1;18/07/2024
155671;97011;7;1;05/05/2024
160835;208243;5;4;04/03/2024
105598;176378;7;4;17/01/2024
86838;321837;7;3;23/02/2024
135766;143559;4;2;21/09/2024
7392;67623;6;5;02/05/2024
