id_cidade;bairro
152;Aviação 
152;Santa Rosa 
152;Algodoal 
152;São João 
152;Francilândia 
152;Cristo Redentor 
152;São Sebastião 
152;São Domingos da Angélica 
152;Mutirão 
152;Castanhal 
152;Santa Clara 
155;Capim Marinho 
159;Centro 
159;Esplanada do Xingu 
159;Jardim Uirapuru 
159;Jardim Independente II 
159;Brasília 
159;Liberdade 
159;Boa Esperança 
159;Colinas 
159;Sudam I 
159;Premem 
159;Sudam II 
159;Jardim Independente I 
159;Ibiza 
159;Bela Vista 
159;Multirão 
159;Jardim Altamira 
159;Aparecida 
159;Alberto Soares 
159;Nova Altamira 
170;Batista Campos 
170;Canudos 
170;Cidade Velha 
170;Condor 
170;Cremação 
170;Guamá 
170;Jurunas 
170;Marambaia 
170;Marco 
170;Fátima 
170;Nazaré 
170;Pedreira 
170;Reduto 
170;Sacramenta 
170;São Bras 
170;Souza 
170;Telégrafo 
170;Campina 
170;Umarizal 
170;Barreiro 
170;Maracangalha 
170;Miramar 
170;Mangueirão 
170;Universitário 
170;Castanheira 
170;Guanabara 
170;Águas Lindas 
170;Aurá 
170;Bengui 
170;Cabanagem 
170;Coqueiro 
170;Parque Verde 
170;Pratinha 
170;São Clemente 
170;Tapanã 
170;Una 
170;Águas Negras 
170;Agulha 
170;Campina de Icoaraci 
170;Cruzeiro 
170;Maracacuera 
170;Paracuri 
170;Parque Guajará 
170;Ponta Grossa 
170;Tenoné 
170;São João do Outeiro 
170;Itaiteua 
170;Brasília 
170;Água Boa 
170;Aeroporto 
170;Arirambá 
170;Carananduba 
170;Caruara 
170;Farol 
170;Mangueiras 
170;Maracajá 
170;Natal do Murubira 
170;Porto Arthur 
170;São Francisco 
170;Sucurijuquara 
170;Vila 
170;Praia Grande 
170;Chapéu Virado 
170;Murubira 
170;Bonfim 
170;Marahú 
170;Paraíso 
170;Baía do Sol 
175;Centro 
175;Riozinho 
175;Alegre 
175;Cereja 
175;Padre Luis 
175;Aldeia 
175;Morro 
175;Samaumapara 
175;Vila Nova 
175;Taíra 
175;Vila Sinhá 
175;Perpétuo Socorro 
178;Novo Horizonte 
178;Japonês 
178;Centro 
178;Bela Vista 
178;Novo Paraíso 
178;Continental 
178;Felicidade 
178;Liberdade 
178;Conquista 
190;Emerêncio 
190;Jardim Petrópolis 
190;Olaria Norte 
190;Giovamira 
190;Morada do Sol 
190;Vila Real 
190;Canudinho 
190;Universitário 
190;Vila Amizade 
190;Novo Araguaia 
190;Tancredo Neves 
190;Centro 
190;São Luiz I 
190;São Luiz II 
190;Capelinha 
190;Dos Pescadores 
190;Vila Nova 
190;Cruzeiro 
195;Centro 
195;Curuá Velho 
195;Nossa Senhora do Carmo 
195;Nova Floresta 
195;Planalto 
195;Cidade Nova 
195;Santa Terezinha 
195;Santa Maria Goretti 
195;Ribeirinho 
199;Porto de Cima 
199;Centro da Cidade 
199;Campina 
199;Nossa Senhora de Aparecida 
199;Morumbi 
226;Cidade Baixa 
226;Papagaio 
226;Serra Oriental 
226;Curaxi 
226;Serra Ocidental 
226;Turu 
226;Pajuçara 
226;Planalto 
232;Parque Vale do Sol 
232;Parque Morumbi 
232;Parque Vila Nova 
232;Parque da Ladeira 
232;Parque Uirapuru 
232;Parque Vila Tucuruí 
232;Parque Espigão 
233;Centro 
233;Lourdes 
233;Fátima 
233;Santa Terezinha 
233;Cidade Nova 
233;São Francisco 
233;Bela Vista 
233;Perpétuo Socorro 
257;Centro 
257;Coqueirinho 
257;Marabá 
257;Paes de Carvalho 
257;Cajú 
265;Aldeia 
265;Fátima 
265;Aparecida 
265;Santa Clara 
265;Santíssimo 
265;Prainha 
265;Aeroporto Velho 
265;Esperança 
265;Liberdade 
265;Caranazal 
265;Centro 
265;Salé 
265;Santana 
265;Diamantino 
265;Jardim Santarém 
265;Alvorada 
265;Amparo 
265;Área Verde 
265;Cambuquira 
265;Floresta 
265;Interventoria 
265;Ipanema 
265;Jaderlândia 
265;Jutaí 
265;Laguinho 
265;Livramento 
265;Maicá 
265;Mapiri 
265;Maracanã 
265;Maracanã I 
265;Mararú 
265;Matinha 
265;Nova República 
265;Nova Vitória 
265;Novo Horizonte 
265;Pérola do Maicá 
265;Santarenzinho 
265;Santo André 
265;São Cristóvão 
265;São Francisco 
265;São José Operário 
265;Uruará 
265;Urumanduba 
265;Urumari 
265;Vigia 
265;Vitória Régia 
265;Conquista 
265;Elcione Barbalho 
281;Central 
281;São Pedro 
281;Matinha 
281;Umirizal 
281;Pacoval 
281;Macacheira 
281;Novo 
281;Tucumanaúba 
284;Juvenil 
284;Centro 
284;Aparecida 
284;São Francisco 
284;Santa Clara 
304;Central 
304;Trem 
304;Beirol 
304;Laguinho 
304;Jesus de Nazaré 
304;Santa Rita 
304;Pacoval 
304;Perpétuo Socorro 
304;Santa Inês 
304;Congos 
304;Nova Esperança 
304;Buritizal 
304;Alvorada 
304;São Lázaro 
304;Pedrinhas 
304;Jardim Felicidade 
304;Araxá 
304;Brasil Novo 
304;Boné Azul 
304;Cabralzinho 
304;Jardim Equatorial 
304;Marco Zero 
304;Novo Horizonte 
304;Infraero 
304;Universidade 
304;Cidade Nova 
304;Novo Buritizal 
304;Zerão 
309;Central 
309;Nova Brasília 
309;Provedor 
309;Dos Remédios 
309;Vila Amazonas 
309;Daniel 
309;Novo Horizonte 
309;Hospitalidade 
309;Comercial 
309;Paraíso 
309;Fonte Nova 
309;Igarapé da Fortaleza 
309;Elesbão 
565;Centro 
565;Bela Vista 
565;Alto da Seriema 
565;Lagoa 
565;Oiteiro da Cruz 
565;Taioba 
565;Matadouro 
565;Rubelândia 
565;Antônio Alves 
565;Mangueira 
565;Alto Alegre 
654;Centro 
654;Mangueira 
654;Santo Antônio 
654;Formosa 
654;Planalto Formosa 
654;Parque Aliança 
654;Mateuzinho 
654;Cajueiro 
654;Parque Alvorada 
654;Sete Estrelas 
654;Glória 
654;Planalto Boa Esperança 
654;Jóia 
654;Vila Bandeirante 
654;Cidade Nova 
654;Multirão 
654;Flores 
654;Bela Vista 
654;Marimar 
654;Boa Esperança 
654;Mangal 
654;Parque São Francisco 
654;Boa Vista 
654;Parque União 
654;São Francisco II 
654;Parque Piauí 
654;São Benedito 
654;Vila Angélica 
654;Pedro Patrício 
654;São Marcos 
674;Centro 
674;São Luiz 
674;Matadouro 
674;Bacurizeiro 
674;Carrasco 
674;Tranqueira 
674;Boca de Barro 
674;Maravilha 
674;Batalhão 
674;Leite 
674;Ciana 
674;Boa Fé 
674;São Sebastião 
674;Santa Inês 
674;Santo Antônio 
674;Baixão do São José 
674;Baixão dos Paivas 
687;Centro 
687;Riachinho 
687;Boa Vista 
687;Piquizeiro 
687;Matadouro 
687;Curujal 
687;Xique Xique 
687;de Fátima 
687;Pedrinhas 
687;Santinho 
687;Vila França 
687;Galdinal 
687;São Cristóvão 
687;Floresta 
687;Residencial São Francisco 
698;Centro 
698;Miramar 
698;Rodoviária 
698;Morro do Frei 
698;São Pedro 
698;Penitenciária 
698;Aeroporto 
698;Hugo Piauilino 
698;Josué Parente 
698;Vicente Brandão 
714;Centro 
714;Nossa Senhora de Lourdes 
714;São João 
714;Recreio 
714;Santa Rita 
714;Flores 
714;Evereste 
714;Alto da Olaria 
714;Califórnia 
714;Cariri 
714;Santa Izabel 
714;Matadouro 
714;Estação 
714;Paulo VI 
714;Santa Cruz 
714;Fripisa 
714;Parque das Estrelas 
714;Nossa Senhora de Fátima 
714;Mucuripe 
714;Cidade Nova 
714;São Luis 
724;Centro 
724;Santa Luzia 
724;Dos Ulisses 
724;São Francisco 
724;São Pedro 
724;José da Cunha Frota 
724;Santa Teresinha 
732;Nova Corrente 
744;Centro 
744;Volta 
744;Matias 
744;Matadouro 
744;Sambaíba 
744;Santa Clara 
744;Várzea Alegre 
744;Fátima 
744;Eufrasino Moura 
744;Vermelha 
744;Piçarra 
744;Do Fio 
744;Cirino 
744;Capitão Mundoco 
744;Grota do Feijão 
750;Centro 
750;Bosque Santa Teresinha 
750;Ibiapaba 
750;Sambaíba Velha 
750;Sambaíba Nova 
750;Cancela 
750;Catumbi 
750;Curador 
750;Pau Ferrado 
750;Caixa D'Água 
750;Manguinha 
750;Irapuã I 
750;Malária 
750;Matadouro 
750;Juá 
750;Alto da Cruz 
750;Riacho Fundo 
750;Planalto Sambaíba 
750;Vila Leão 
750;Canoas 
750;Bom Lugar 
750;Tiberão 
750;Curtume 
750;Nossa Senhora da Guia 
750;Alto da Guia 
750;Santa Rita 
750;Viazul 
750;Tamboril 
750;São Borja 
750;Meladão 
750;Campo Velho 
750;Morro do Tiro 
750;Hermes Pacheco 
750;Paraíso 
750;Pedro Simplício 
750;Rede Nova 
750;Taboca 
750;Irapuã II 
761;Centro 
761;São Vicente de Paula 
761;Baixão 
761;Cal 
761;Tatus 
786;Centro 
786;Triângulo 
786;Beira Mar 
786;Cemitério 
786;Santa Luzia 
786;Alto Bonito 
786;Cearazinho 
786;Atalaia 
786;Dunas 
786;Alto do Murici 
786;Coqueiro 
786;Vista do Atlântico 
818;Centro 
818;Nova Parnaíba 
818;São José 
818;Mendonça Clark 
818;Santa Isabel 
818;Do Carmo 
818;Cantagalo 
818;De Fátima 
818;Campos 
818;São Francisco da Guarita 
818;Bebedouro 
818;Tabuleiro 
818;Pindorama 
818;Ceará 
818;Santa Luzia 
818;São Vicente de Paula 
818;Igaraçu 
818;São Judas Tadeu 
818;Reis Veloso 
818;João XXIII 
818;Frei Higino 
818;Piauí 
818;Boa Esperança 
818;Dirceu Arcoverde 
818;Rodoviária 
818;Primavera 
818;Alto Santa Maria 
818;Sabiazal 
818;São Benedito 
822;Centro 
822;Guarita 
822;Correnteza 
822;Paulista Grande 
822;Arapiraca 
822;Industrial 
822;Santo Antônio 
822;Jardim Paulistana 
822;São Francisco 
822;Boa Vista 
822;Triângulo 
822;Choró 
822;Estação 
822;Lagoa 
822;Sertanejo 
822;Cohab 
827;Centro 
827;Boa Sorte 
827;Catavento 
827;Trizidela 
827;Malva 
827;De Fátima 
827;Paroquial 
827;Aerolândia 
827;Bomba 
827;Ipueiras 
827;Dner 
827;Parque de Exposição 
827;Passagem das Pedras 
827;Boa Vista 
827;Canto da Várzea 
827;Bela Vista 
827;São José 
827;Morada do Sol 
827;Pedrinhas 
827;Junco 
827;Aroeiras 
827;Altamira 
827;Jardim Natal 
827;Conduru 
827;Marco de Sousa 
827;Paraibinha 
831;Centro 
831;Caixa D'Água 
831;Morro da Saudade 
831;Morro da Ana 
831;Garibaldi 
831;Fonte dos Matos 
831;Paciência 
831;Barcelona 
831;Germano 
831;Flor dos Campos 
831;Ytacoatiara 
831;Estação 
831;Matadouro 
831;Floresta 
831;Anajás 
831;Recreio 
831;São João 
831;Petecas 
831;Crioli 
831;Conceição 
831;Prado 
831;Russinha 
831;Conjunto Expedito Rezende 
831;Vista Alegre 
831;Santa Maria 
840;Centro 
840;Serrinha 
840;Vila Nova 
840;Bela Vista 
840;Barreiras 
852;Centro 
852;Olho d'Água de São Félix 
852;Clube do Vaqueiro 
852;São Sebastião 
852;Santa Teresinha 
852;Areia Branca 
852;Ingá 
852;Alto Vermelho 
852;Santo Antônio 
852;Conjunto Afonso Veim 
878;São Francisco 
878;Nova Cidade 
883;Por Enquanto 
883;Alto Alegre 
883;Piçarra 
883;Alvorada 
883;Pio XII 
883;Aeroporto 
883;Redenção 
883;Acarapé 
883;São Pedro 
883;Buenos Aires 
883;Tabuleta 
883;Bom Jesus 
883;Três Andares 
883;Embrapa 
883;Vila Operária 
883;Mafrense 
883;Vermelha 
883;Memorare 
883;Matadouro 
883;Mocambinho 
883;Nova Brasília 
883;Olarias 
883;Poti Velho 
883;Primavera 
883;Real Copagre 
883;São Francisco 
883;São Joaquim 
883;Itaperu 
883;Angelim 
883;Areias 
883;Bela Vista 
883;Brasilar 
883;Catarina 
883;Distrito Industrial 
883;Esplanada 
883;Lourival Parente 
883;Morada Nova 
883;Parque Jacinta 
883;Parque Juliana 
883;Parque São João 
883;Parque Piauí 
883;Promorar 
883;Saci 
883;Santa Cruz 
883;Santa Luzia 
883;Santo Antônio 
883;São Lourenço 
883;Triunfo 
883;Beira Rio 
883;Comprida 
883;Colorado 
883;Extrema 
883;Gurupi 
883;Itararé 
883;Livramento 
883;Novo Horizonte 
883;Parque Ideal 
883;Parque Poti 
883;Renascença 
883;Redonda 
883;São Raimundo 
883;São Sebastião 
883;Todos os Santos 
883;Aroeiras 
883;Campestre 
883;Fátima 
883;Horto 
883;Iningá 
883;Jóquei 
883;Morros 
883;Morada do Sol 
883;Novo Uruguai 
883;Noivos 
883;Pedra Mole 
883;Porto do Centro 
883;Planalto 
883;Piçarreira 
883;Recanto das Palmeiras 
883;Socopó 
883;Satélite 
883;Samapi 
883;Santa Lia 
883;São Cristóvão 
883;Santa Isabel 
883;São João 
883;Tabajaras 
883;Uruguai 
883;Vale do Gavião 
883;Verde Lar 
883;Vale Quem Tem 
883;Zoobotânico 
883;Centro 
883;Cabral 
883;Cristo Rei 
883;Cidade Nova 
883;Frei Serafim 
883;Ilhotas 
883;Matinha 
883;Mafuá 
883;Marquês de Paranaguá 
883;Morro da Esperança 
883;Macaúba 
883;Monte Castelo 
883;N. S. das Graças 
883;Pirajá 
883;Água Mineral 
883;Tancredo Neves 
883;Cidade Industrial 
883;Santa Rosa 
883;Verdecap 
883;Bom Princípio 
883;Flor do Campo 
884;Centro 
884;São João 
884;Beira Rio 
884;Buritizinho 
884;São Pedro 
884;Vila Nova Conquista 
884;São Sebastião 
884;São Judas Tadeu 
884;Dos Cocos 
884;Cruzeiro 
884;São Francisco 
884;Nossa Senhora das Graças 
884;Areias 
884;São José 
892;Centro 
892;Alto da Alegria 
892;Populares 
892;Capoeiras 
895;Centro 
895;São Francisco 
895;Nova Acopiara 
895;Vila Palmeira 
895;Moreiras 
895;Bom Sucesso 
895;Vila Esperança 
895;Vila São João 
895;Nossa Senhora Aparecida 
897;Centro 
897;Junco 
897;Caldeirão 
897;Bela Vista 
897;São José 
899;Centro 
899;Alípios 
899;Menino Deus 
899;Jardim 
899;Tibolo 
899;Pão de Açúcar 
899;Dom Pompeu 
904;Centro 
904;Farias Brito 
904;Pedregal 
904;Nossa Senhora de Fátima 
904;Córrego dos Rodrigues 
904;Campo Verde 
904;Aterro 
904;Nossa Senhora de Lourdes 
904;Várzea da Matriz 
906;Centro 
906;Planalto 
906;Ferreirão 
906;Beira Rio 
906;Varjota 
909;Arneirozinho 
909;Centro 
909;Cecília Alves Bezerra 
909;Dr. Lanes Leal Petrola 
909;Santo Antônio 
909;Silva Bezerra 
911;Centro 
911;José Fernandes Campos 
911;Mororó 
911;Recreio 
911;Araçá 
911;Vila Paulo Gonçalves 
911;José Freire do Amaral 
911;São Benedito 
914;Centro 
914;Rosário 
914;Tupinambá 
914;Santo Antônio 
914;Nossa Senhora de Fátima 
914;Bela Vista 
914;Alto da Alegria 
914;Bulandeira 
914;Mata dos Limas 
914;Buriti 
914;Malvinas 
914;Santo André 
914;Cirolândia 
914;Alto do Rosário 
914;Mata dos Dudas 
916;Centro 
916;Poço da Pedra 
916;Jardim Raimundo Inácio 
916;Gangorra 
916;Bela Vista 
916;São Francisco 
916;Baixio Velho 
916;São José 
916;Muquém 
916;Trajano Nogueira 
916;Aurílio Cardoso 
917;Centro 
917;Nossa Senhora dos Navegantes 
917;Poço Imperial 
917;Caucaia 
917;Carmelita Veras 
917;Jaime Laurindo 
918;Coió 
918;Comendador Ananias Arruda 
918;Conjunto Habitacional Maria José Viana 
918;Conselheiro Estelita 
918;Feira do Gado 
918;Gustavo Sampaio 
918;Jesuítas 
918;Manga 
918;Mondego 
918;Mucunã 
918;Nossa Senhora Auxiliadora 
918;Putiú 
918;Sanharão 
918;Vila Nova 
918;Centro 
918;São Francisco 
918;Beira Rio 
921;Vila Azul 
921;Alto do Motor 
921;Boaviaginha 
921;Recreio 
921;Alto da Queiroz 
921;Ponte Nova 
921;Vila Holanda 
921;José Rosa 
921;Fátima 
921;Tibiquari 
921;Floresta 
921;Várzea do Canto 
921;Centro 
922;Centro 
922;Aldeota 
922;Morro Dourado 
922;Sol Nascente 
922;São Francisco 
922;Cabaceiras 
922;Eliseu Gomes de Lucena 
922;Bela Vista 
922;Renê Lucena 
922;Raimundo Fernandes 
922;Araujão 
922;Capilé 
922;Luzia Leite 
922;Taboqueiras 
925;Alto Guaramiranga 
925;Boa Vista 
925;Bela Vista 
925;Canindezinho 
925;Capitão Pedro Sampaio 
925;Centro 
925;Imaculada Conceição 
925;João Paulo II 
925;Jubaia 
925;Nossa Senhora das Graças 
925;Palestina 
925;Riacho São Francisco 
925;Santa Luzia 
925;São Mateus 
925;Santa Clara 
925;Campinas 
927;Pé do Serrote 
927;Coração de Jesus 
927;Açude Novo 
927;Conjunto 
927;Alto da Bela Vista 
927;Alto da Delegacia 
927;Estrada Vila Nova 
927;Vila Beta 
927;Açudinho 
927;Três Bocas 
929;Centro 
929;Mestre Neco 
929;Nossa Senhora do Carmo 
929;Paraíso 
929;Umari 
929;Pernambuquinho 
929;Padre Cícero 
929;José Agostinho 
929;Palestina 
929;Abílio Unias 
929;Cedron 
929;Bico da Arara 
930;Centro 
930;São Vicente 
930;Vila Nova 
930;Esplanada 
930;Acampamento 
934;Centro 
934;Açude 
934;Caixa d'Água 
934;Passagem 
934;Bela Vista 
934;Beira Rio 
935;Alto do Garrote 
935;Açude 
935;Barra Nova 
935;Bom Jesus 
935;Cabatan 
935;Campo Grande 
935;Camurupim 
935;Capuan 
935;Centro 
935;Cigana 
935;Cipó 
935;Conjunto Metropolitano 
935;Cumbuco 
